id;type_semis;conseil_semis;periode_semis_debut;periode_semis_fin
1;Toys;wireless c Buckinghamshire;2022-03-08;2022-03-09
2;Géorgie Metal;circuit magenta program;2022-03-08;2022-03-09
3;haptic Soft Analyste;Books lime;2022-03-09;2022-03-09
4;Cambridgeshire Frozen;management;2022-03-08;2022-03-08
5;Metal Sol Savings;PCI Poitou-Charentes Franche-Comté;2022-03-09;2022-03-09
6;red Fresh Centralized;generating Programmable Kina;2022-03-08;2022-03-09
7;olive open-source Small;Krona RSS;2022-03-09;2022-03-09
8;Personal Administrateur compressing;withdrawal;2022-03-09;2022-03-09
9;Checking online drive;Bourgogne plum Corse;2022-03-09;2022-03-08
10;Syrie CSS;b;2022-03-08;2022-03-09
