id;nom_latin;conseil_culture;culture;exposition;besoin_eau;nature_sol;qualite_sol
1;Checking bypassing Rhône-Alpes;Small Picardie;Champagne-Ardenne;purple;Loan;navigate Bacon;Assistant Intelligent
2;Checking microchip;real-time Tuna Pound;Analyste Bedfordshire card;c moderator;compressing SDR;quantify;Fresh clicks-and-mortar
3;models;payment Cotton;hub c;Gabon orange;lavender yellow Rubber;Account;Proactive
4;b;Berkshire Garden;Aquitaine;transform Nord-Pas-de-Calais;Bacon b;Finlande;client-driven Avon Kirghizistan
5;Borders;b quantifying Card;Bike digital synthesize;Djibouti;Fidji plum;Account Mongolie Berkshire;grey
6;a c Berkshire;indexing;generating Designer SCSI;Exclusive;program;Jewelery recontextualize;embrace intranet optical
7;Rustic;parsing Cheese;Home dominicaine;a;cross-platform;Small synthesizing;Fantastic e-commerce invoice
8;Generic Dirham;Organized microchip a;Card Executif Franche-Comté;Handmade;grey;interactive;Uruguay
9;cross-platform Chaussée-d'Antin;Borders;Home Card;1080p Rufiyaa Movies;c payment Montorgueil;Tuna;Specialiste
10;Handmade a;a content-based Metal;microchip Champagne-Ardenne online;Clothing;Concrete;New;XSS adapter c
